paper_name,journal,number_entities
conf_icse_HatcliffDDJR03,ICSE,12
conf_icse_YuSR14,ICSE,12
conf_icse_StoreyRBMS08,ICSE,12
conf_icse_OkurHDD14,ICSE,12
conf_icse_AlmesBBW84,ICSE,12
conf_icse_GalensonRBHS14,ICSE,12
conf_icse_DagenaisR08,ICSE,12
conf_icse_Lamsweerde00,ICSE,12
conf_icse_ScherlHKH08,ICSE,12
conf_icse_LiLGH16,ICSE,12
conf_icse_GrechanikXF09,ICSE,12
conf_icse_WeinsbergB02,ICSE,12
conf_vldb_DiaoF03,VLDB,12
conf_vldb_DeRoseSCDR07,VLDB,12
conf_vldb_GehrkeRG98,VLDB,12
conf_vldb_LingatCR88,VLDB,12
conf_vldb_MeoPC96,VLDB,12
conf_vldb_BainaBPTRRH04,VLDB,12
conf_vldb_KonopnickiS95,VLDB,12
conf_vldb_DidriksenGD95,VLDB,12
conf_vldb_MehtaD95,VLDB,12
conf_vldb_RezendeH98,VLDB,12
conf_vldb_SimonKM92,VLDB,12
conf_vldb_SullivanS91,VLDB,12
conf_jcdl_MarisaH01,JCDL,11
conf_jcdl_WittenB07,JCDL,11
conf_sigir_PragerBCR00,SIGIR,11
conf_sigir_VeerasamyH97,SIGIR,11
conf_sigir_SunSL11,SIGIR,11
conf_sigir_ZhouXZY08,SIGIR,11
conf_sigir_MehtaN08,SIGIR,11
conf_sigir_EickhoffVC13,SIGIR,11
conf_sigir_HelmerN15,SIGIR,11
conf_sigir_ArroyueloGOS13,SIGIR,11
conf_sigir_XueYZYC05,SIGIR,11
conf_ercimdl_KapoorBMFSK07,ECDL,11
conf_ercimdl_GoncalvesLSAF02,ECDL,11
conf_trec_KanoulasHCCS11,TREC,11
conf_trec_Voorhees02,TREC,11
conf_trec_Voorhees03,TREC,11
conf_trec_WangH11,TREC,11
conf_trec_Soboroff04,TREC,11
conf_trec_DivoliHNS06,TREC,11
conf_trec_SrikanthRS03,TREC,11
conf_trec_BillerbeckCCLWWYZ04,TREC,11
conf_trec_WangSLL13,TREC,11
conf_trec_ZhaiLHVWFSL05,TREC,11
conf_trec_HuWMV15,TREC,11
conf_trec_AraujoGHBV12,TREC,11
conf_trec_Chu-CarrollADGMPHW06,TREC,11
conf_icwsm_YangYVZK07,ICWSM,11
conf_esws_ValleCCEVKRVGZM07,ESWC,11
conf_esws_BeretaSK13,ESWC,11
conf_esws_SzekelyKYZFAG13,ESWC,11
conf_esws_LambrixL09,ESWC,11
conf_esws_AprosioGL13,ESWC,11
conf_www_LeopoldHP02,WWW,11
conf_www_MotikGS08,WWW,11
conf_www_GelernterH16,WWW,11
conf_www_GalarragaTHS13,WWW,11
conf_www_LiptchinskySZD13,WWW,11
conf_www_BeyerCH05,WWW,11
conf_www_Kindberg02,WWW,11
conf_www_PlessersCYTSHG05,WWW,11
conf_www_Miles-BoardBHC04,WWW,11
conf_www_SchojerBHPP03,WWW,11
conf_www_AbadiG02,WWW,11
conf_www_ZhaoMWRY05,WWW,11
conf_www_LamparterASG07,WWW,11
conf_www_ChakrabartiKBRS12,WWW,11
conf_www_SuchanekKW07,WWW,11
conf_www_RadevFQWG02,WWW,11
conf_www_KuzeySSW16,WWW,11
conf_www_KotzinosPAAC05,WWW,11
conf_www_JimSH07,WWW,11
conf_www_YinCHZH11,WWW,11
conf_www_SunMG08,WWW,11
conf_icse_MilicevicRYJ11,ICSE,11
conf_icse_0010Z14,ICSE,11
conf_icse_HuangZTWL14,ICSE,11
conf_icse_MyersO81,ICSE,11
