paper_id,number_entities,year,ee,dblpkey,journal,title,type,entities_array
conf_vldb_LehmanL89,6,1989,http://www.vldb.org/conf/1989/P375.PDF,conf_vldb_LehmanL89,VLDB,'The_Starburst_Long_Field_Manager.',inproceedings,Starburst;UNIX;EXODUS;DEMOS;Alpine;DTSS
conf_vldb_DeutschPX04,6,2004,http://www.vldb.org/conf/2004/RS4P5.PDF,conf_vldb_DeutschPX04,VLDB,'The_NEXT_Logical_Framework_for_XQuery.',inproceedings,OptXQuery;OptXQueries;Xtableaux;XTableaux;XQuery;NewCtxt
conf_vldb_AdibaC88,6,1988,http://www.vldb.org/conf/1988/P134.PDF,conf_vldb_AdibaC88,VLDB,'Management_of_Complex_Objects_as_Dynamic_Forms.',inproceedings,NFNF;BEFORE;AFTER;SPECDOQ;ESE-expression;SQL-like
conf_vldb_GehaniJR94,6,1994,http://www.vldb.org/conf/1994/P249.PDF,conf_vldb_GehaniJR94,VLDB,'OdeFS:_A_File_System_Interface_to_an_Object-Oriented_Database.',inproceedings,sWrite;OdeFS;OfsExtFcn;sName;UNIX;sCreate
conf_vldb_Brin95,6,1995,http://www.vldb.org/conf/1995/P574.PDF,conf_vldb_Brin95,VLDB,'Near_Neighbor_Search_in_Large_Metric_Spaces.',inproceedings,Euclidean;Seurat;Dirichlet;GNAT;Edit;InsDel
conf_vldb_KentTO88,6,1988,http://www.vldb.org/conf/1988/P112.PDF,conf_vldb_KentTO88,VLDB,'Browsing_Electronic_Mail:_Experiences_Interfacing_a_Mail_System_to_a_DBMS.',inproceedings,Walnut;SpecifVing;LENS;Cedar;NewMail;BrowseToMsgSet
conf_vldb_PennyP83,6,1983,http://www.vldb.org/conf/1983/P020.PDF,conf_vldb_PennyP83,VLDB,'Application_of_Novel_Technologies_to_the_Management_of_a_Very_Large_Date_Base.',inproceedings,SARDK;WOODS;SARDR;DIRAM;DIRAFI;SARDE
conf_vldb_RonstromO05,6,2005,http://www.vldb2005.org/program/paper/wed/p1108-ronstrom.pdf,conf_vldb_RonstromO05,VLDB,'Recovery_Principles_in_MySQL_Cluster_5.1.',inproceedings,MySQL;ROWID;UNDO;NULLable;UPDATE;INSERT
conf_vldb_OzsuVU98,6,1998,http://www.vldb.org/conf/1998/p440.pdf,conf_vldb_OzsuVU98,VLDB,'An_Asynchronous_Avoidance-Based_Cache_Consistency_Algorithm_for_Client_Caching_DBMSs.',inproceedings,AOCC AOCC is;AACC;ACBL ACBL is;ACBL;AOCC;DBMS
conf_vldb_ArunJ98,6,1998,http://www.vldb.org/conf/1998/p671.pdf,conf_vldb_ArunJ98,VLDB,'KODA_-_The_Architecture_And_Interface_of_a_Data_Model_Independent_Kernel.',inproceedings,BACKUP;PREPARE;CODASYL;RESTORE;KODA;DBMS
conf_vldb_BurdickDJRV05,6,2005,http://www.vldb2005.org/program/paper/fri/p970-burdick.pdf,conf_vldb_BurdickDJRV05,VLDB,'OLAP_Over_Uncertain_and_Imprecise_Data.',inproceedings,OLAP-style;LinOP;OLAP;AVERAGE;Milwaukee;LinOp
conf_vldb_StohrMR00,6,2000,http://www.vldb.org/conf/2000/P273.pdf,conf_vldb_StohrMR00,VLDB,'Multi-Dimensional_Database_Allocation_for_Parallel_Data_Warehouses.',inproceedings,PgSize;MonthClass;MonthGroup;MDHF;PDBS;MonthCode
conf_vldb_Mohan02a,6,2002,http://www.vldb.org/conf/2002/S29P01.pdf,conf_vldb_Mohan02a,VLDB,'An_Efficient_Method_for_Performing_Record_Deletions_and_Updates_Using_Index_Scans.',inproceedings,ISCCB;RDBMS;KLOCK;WHERE;NonStop;RLOCK
conf_vldb_WangC03,6,2003,http://www.vldb.org/conf/2003/papers/S25P01.pdf,conf_vldb_WangC03,VLDB,'Avoiding_Ordering_and_Grouping_In_Query_Processing.',inproceedings,SetReq;InferSat;Merge;DBGEN;Nulls;LineItem
conf_vldb_VrhovnikSSMMMK07,6,2007,http://www.vldb.org/conf/2007/papers/research/p615-vrhovnik.pdf,conf_vldb_VrhovnikSSMMMK07,VLDB,'An_Approach_to_Optimize_Data_Processing_in_Business_Processes.',inproceedings,WebSphere;OrderConfirmation;InsertOrderConfirmation;ForEach;GroupOrderByItemID;XQuery
