paper_id,number_occurances,weighted_occurances
conf_esws_celinov05,48,48
conf_esws_chiritaggnp05,48,48
conf_esws_krishnamurthyks15,48,48
conf_esws_gerbermb08,48,48
conf_esws_grimnesep08,48,48
conf_vldb_careyjl89,48,48
conf_vldb_adibac88,48,48
conf_vldb_goldsh85,48,48
conf_vldb_kannem06,48,48
conf_vldb_stonebrakermahhh07,48,48
conf_vldb_madhavanbr01,48,48
conf_vldb_morgenstern84,48,48
conf_vldb_jagadishkmpss98,48,48
conf_vldb_moerkotten06,48,48
conf_vldb_huss07,48,48
conf_vldb_mankum02,48,48
conf_vldb_haberil95,48,48
conf_vldb_moserkk95,48,48
conf_vldb_kimlmp84,48,48
conf_trec_fullerkknwwz99,48,48
conf_trec_hawkingbc99,48,48
conf_trec_weizlw12,48,48
conf_trec_schoneccmms05,48,48
conf_trec_dayanikgklm05,48,48
conf_trec_ranganj09,47,48
conf_www_zhouii04,46,48
conf_vldb_pandarpgc06,46,48
conf_trec_baruahgrv13,46,48
conf_trec_ahnjmmrs04,46,46
conf_trec_pradhankbwjmbsfdyphmi02,46,46
conf_jcdl_tibenderanao08,45,45
conf_jcdl_sultanbs14,45,45
conf_jcdl_khabsatg12,45,45
conf_jcdl_faith05,45,45
conf_jcdl_borgmanwmp07,45,45
conf_jcdl_marisah01,45,45
conf_jcdl_khoo05,45,45
conf_jcdl_janeemf08,45,45
conf_sigir_xiawhj12,45,45
conf_sigir_shenpwy12,45,45
conf_sigir_sunsl11,45,45
conf_sigir_winograd73,45,45
conf_sigir_buckleyv00,45,45
conf_sigir_mehtan08,45,45
conf_sigir_mingwc10,45,45
conf_sigir_sonnenbergerf95,45,45
conf_sigir_xueyzyc05,45,45
conf_sigir_liuscnw12,45,45
conf_sigir_chengcbb14,45,45
conf_sigir_larkeybc02,45,45
conf_ercimdl_dartoissstmf97,45,45
conf_ercimdl_velegrakiscc99,45,45
conf_ercimdl_bollenvx02,45,45
conf_ercimdl_menziesbd10,45,45
conf_ercimdl_artiniccmmp08,45,45
conf_ercimdl_sulemanf02,45,45
conf_ercimdl_leesbmmo00,45,45
conf_ercimdl_miliotispd98,45,45
conf_ercimdl_owen98,45,45
conf_ercimdl_tochtermannrwsm97,45,45
conf_ercimdl_liudschdc98,45,45
conf_ercimdl_agostifft04,45,45
conf_ercimdl_raghavanvsgff05,45,45
conf_icwsm_kairammtld13,45,45
conf_esws_lorey13,45,45
conf_esws_grozahmd07,45,45
conf_esws_dukerwr05,45,45
conf_esws_grimmkln07,45,45
conf_esws_osenberglb15,45,45
conf_esws_haasehmt09,45,45
conf_esws_sevilmisssppcjmmstz05,45,45
conf_esws_kieferblks07,45,45
conf_esws_hoefler13,45,45
conf_esws_tolksdorfnbnl05,45,45
conf_esws_ramollarikds09,45,45
conf_esws_dietzoldua08,45,45
conf_esws_behrendtgmw05,45,45
conf_esws_canosam16,45,45
conf_esws_damjanovicbph07,45,45
conf_esws_fokoueshz16,45,45
conf_esws_fuchss07,45,45
conf_vldb_chenl89,45,45
conf_vldb_lecluser89,45,45
conf_vldb_suc91,45,45
conf_vldb_kounevb02,45,45
conf_vldb_derosescdr07,45,45
conf_vldb_wolfkcfck07,45,45
conf_vldb_luc85,45,45
conf_vldb_labioycgw00,45,45
conf_vldb_stormglds06,45,45
conf_vldb_ansarinrs92,45,45
conf_vldb_statahg04,45,45
conf_vldb_rothoh99,45,45
conf_vldb_florescuhklrwcsa03,45,45
conf_vldb_witkowskibbnssw05,45,45
conf_vldb_sterling98,45,45
conf_vldb_abiteboulsgs86,45,45
conf_vldb_simonkm92,44,44
conf_jcdl_beerpc09,42,42
conf_jcdl_leecfp13,42,42
conf_jcdl_wingets11,42,42
conf_jcdl_golubmtjmpn09,42,42
conf_jcdl_wul16,42,42
conf_jcdl_khoopwrpd08,42,42
conf_jcdl_mimnojc05,42,42
conf_sigir_yangllhkr07,42,42
conf_sigir_mcdonaldtl01,42,42
conf_sigir_fanlwxf04,42,42
conf_sigir_wanglzd08,42,42
conf_sigir_zheny10,42,42
conf_sigir_songyxllw12,42,42
conf_sigir_wangzz08,42,42
conf_sigir_qumsiyehn12,42,42
conf_sigir_ma13,42,42
conf_sigir_zhangpz04,42,42
conf_sigir_efron13,42,42
conf_sigir_fox85,42,42
conf_sigir_brisaboafnp05,42,42
conf_ercimdl_manguinhasb06,42,42
conf_ercimdl_kovacsm07,42,42
conf_ercimdl_kumarbhssw04,42,42
